rank,id,name,total_score,immunometabolic_evidence,exposure_data_quality,concentration_relevance,geographic_overlap,intervention_potential
1,XEN003,Arsenic (inorganic),4.25,3.89,4.5,5.0,5.0,2.5
2,XEN004,DDT/DDE,4.1,3.16,3.9,5.0,5.0,3.5
3,XEN014,Paraquat,4.01,2.7600000000000007,3.6,5.0,5.0,4.0
4,XEN007,Chlorpyrifos,3.61,2.7600000000000007,3.6,5.0,3.0,4.0
5,XEN013,Mercury (methylmercury),3.61,3.0600000000000005,3.6,5.0,3.75,2.5
6,XEN009,Cadmium,3.54,3.46,4.4,5.0,1.75,3.0
7,XEN006,Lead (Pb),3.52,3.0600000000000005,3.9000000000000004,5.0,3.0,2.5
8,XEN011,Atrazine,3.44,2.7600000000000007,3.6,5.0,2.5,3.5
9,XEN005,"TCDD (2,3,7,8-Tetrachlorodibenzo-p-dioxin)",3.42,4.19,3.6,5.0,1.75,2.0
10,XEN012,Bisphenol A (BPA),3.41,3.46,4.1,5.0,1.0,3.5
11,XEN010,Glyphosate,3.37,2.7600000000000007,4.4,3.5,2.5,4.0
12,XEN002,PFOS (Perfluorooctane sulfonate),3.31,3.0600000000000005,4.1,5.0,1.0,3.5
13,XEN015,Di(2-ethylhexyl) phthalate (DEHP),3.31,3.0600000000000005,4.1,5.0,1.0,3.5
14,XEN001,PFOA (Perfluorooctanoic acid),3.25,3.3899999999999997,4.4,5.0,0.0,3.5
15,XEN008,Benzo[a]pyrene,3.16,3.46,3.6,5.0,1.0,2.5
